"出願番号/登録番号/国際登録番号","商標(検索用)","称呼基準","称呼(参考情報)","区分","出願人/権利者/名義人","出願日/国際登録日(事後指定日)","登録日","ステータス","文献URL"
"登録1792034","無印良品","","ムジルシリョーヒン,ムインリョーヒン,ムイン,ムジルシ","04,05,06,08,10,11,14,16,18,19,20,21,24,26,27,28","株式会社良品計画","1982/11/29","1985/07/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1982-105401/40/ja"
"登録1862482","￠ＩＤＥＥ","","イデ","03,06,08,10,14,18,21,25,26","株式会社良品計画","1984/05/10","1986/05/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1984-046859/40/ja"
"登録1937235","無印良品","","ムジルシリョウヒン,ムインリョウヒン","34","株式会社良品計画","1984/02/04","1987/02/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1984-009022/40/ja"
"登録2141882","ＣＡＢＩＮ","","キャビン,ケビン,カビン","16,18,21,24,27","株式会社ファーストリテイリング","1987/01/29","1989/05/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1987-007374/40/ja"
"登録2178740","ＦＬＡＳＨ　ＥＥＰＲＯＭ","","フラッシュイイイイピイロム,フラッシュ,イイイイピイ,フラシープ","09","キオクシア株式会社","1986/10/22","1989/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1986-111394/40/ja"
"登録2178741","ＦＬＡＳＨ　Ｅ２ＰＲＯＭ","","フラッシュイイツーピイロム,フラッシュ,ピイロム,イイツウピイロム","09","キオクシア株式会社","1986/10/22","1989/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1986-111395/40/ja"
"登録2566787","Ｕｎｉｑｕｅ　Ｃｌｏｔｈｉｎｇ　Ｗａｒｅｈｏｕｓｅ","","ユニーククロジングウエアハウス,ウエアハウス","24,25","株式会社フア－ストリテイリング","1983/05/25","1993/08/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1983-048297/40/ja"
"登録2625072","ＵＮＩＱＵＥ　ＣＬＯＴＨＩＮＧ＼ユニ－ククロ－ジング","","ユニーククロージング","25","株式会社ファーストリテイリング","1987/04/28","1994/02/28","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1987-047756/40/ja"
"登録3098999","銀鱗荘","","ギンリンソー,ギンリン","42","株式会社ニトリホールディングス","1992/09/25","1995/11/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1992-229271/40/ja"
"登録3131094","無印良品","","ムジルシリョウヒン","33","株式会社良品計画","1993/06/20","1996/03/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067632/40/ja"
"登録3161321","無印良品","","ムジルシリョウヒン","23","株式会社良品計画","1993/06/29","1996/05/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067622/40/ja"
"登録3186362","無印良品","","ムジルシリョウヒン","12","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067612/40/ja"
"登録3186363","無印良品","","ムジルシリョウヒン","22","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067621/40/ja"
"登録3186364","無印良品","","ムジルシリョウヒン","28","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067627/40/ja"
"登録3192789","無印良品","","ムジルシリョーヒン","35","株式会社良品計画","1992/09/30","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1992-274842/40/ja"
"登録3192981","無印良品","","ムジルシリョウヒン","02","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067602/40/ja"
"登録3192982","無印良品","","ムジルシリョウヒン","04","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067604/40/ja"
"登録3192983","無印良品","","ムジルシリョウヒン","32","株式会社良品計画","1993/06/29","1996/08/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067631/40/ja"
"登録3204551","無印良品","","ムジルシリョウヒン","15","株式会社良品計画","1993/06/29","1996/09/30","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067614/40/ja"
"登録3211947","無印良品","","ムジルシリョウヒン","03","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067603/40/ja"
"登録3211948","無印良品","","ムジルシリョウヒン","14","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067613/40/ja"
"登録3211949","無印良品","","ムジルシリョウヒン","18","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067617/40/ja"
"登録3211950","無印良品","","ムジルシリョウヒン","24","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067623/40/ja"
"登録3211951","無印良品","","ムジルシリョウヒン","25","株式会社良品計画","1993/06/29","1996/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-1993-067624/40/ja"
"登録3211951/01","無印良品","","ムジルシリョーヒン","35","株式会社良品計画","2007/06/28","2009/03/13","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2007-068851/40/ja"
